work_category,work_title,work_creator,work_publication_year,work_description
album,Can't Buy a Thrill,Steely Dan,1972,No YOU can't by a thrill
album,Countdown to Ecstasy,Steely Dan,1973,
album,Pretzel Logic,Steely Dan,1974,
album,Katy Lied,Steely Dan,1975,
album,The Royal Scam,Steely Dan,1976,
album,Aja,Steely Dan,1977,
album,Gaucho,Steely Dan,1980,
album,Silence Yourself,Savages,2013,
album,Adore Life,Savages,2016,
album,NVM,Tacocat,2014,
album,Lost Time,Tacocat,2016,
album,No Regrets,Chastity Belt,2013,
album,Time to Go Home,Chastity Belt,2015,
album,Sleater-Kinney,Sleater-Kinney,1995,
album,Call the Doctor,Sleater-Kinney,1996,
album,Dig Me Out,Sleater-Kinney,1997,
album,The Hot Rock,Sleater-Kinney,1999,
album,All Hands on the Bad One,Sleater-Kinney,2000,
album,One Beat,Sleater-Kinney,2002,
album,The Woods,Sleater-Kinney,2005,
album,No Cities to Love,Sleater-Kinney,2015,
book,Hidden Figures,Margot Lee Shetterly,2016,Good book that came before the movie
book,Practical Object-Oriented Design in Ruby,Sandi Metz,2012,Good programming book
book,Kindred,Octavia E. Butler,1979,Good sci-fi book
book,Parable of the Sower,Octavia E. Butler,1993,
book,A Wizard of Earthsea,Ursula K. Leguin,1968,
book,As I Lay Dying,Faulkner,1950,The mom dies
book,Thinking Fast and Slow,Daniel Kahneman,2011,2011 by Nobel Memorial Prize in Economic Sciences
book,Cracking the Coding Interview,Gayle Laakmann McDowell,2016,189 Programming Questions and Solutions
book,An Introduction to Functional Programming,Michaelson,1989,About the world's smallest programming language
book,The C Programming Language,Kernighan,1988,BC wears well as one's experience with it grows
book,Data Analysis with Open Source Tools,Janett,2011,Concise reference for understanding how to conquer piles of data
book,Visualize This,Nathan Yau,2011,See your data in new ways
book,Critical Race Theory,Richaard Delgado and Jean Stephancic,2012,Compact introduction
book,Justice,Mischael Sandel,2009,Relates the big questions of political philosophy to the most vexing issues of our time
book,Independent People,Halldor Laxness,1946,Winner of the 1955 Nobel Prize in Literature
book,Johnny Got His Gun,Dalton Trumbo,1939,Surely one of the most brutally and unflinchingly honest books about the horrors of war
movie,Best in Show,Christopher Guest,1998,Dogshow mockumentary
movie,Pi,Darren A,1998,When you just cannot let go of a puzzle
movie,Die Brücke,Bernhard Wicki,1959,First major antiwar film to come out of Germany after World War II
movie,Toyko Story,Yasujirô Ozu,1953,An old couple visit their children and grandchildren in the city but the children have little time for them
movie,Hunt For The Wilderpeople,Taika Waititi,2016,A defiant young city kid who finds himself on the run with his cantankerous foster uncle in the wild New Zealand bush
movie,Antonia's Line,Marleen Gorris,1995,A Dutch matron establishes a matriarchal community where feminism and liberalism thrive
movie,Keanu,Jordan Peele,2016,Two friends track down a stolen kitten
movie,The Red Violen,François Girard,1998,A perfect red-colored violin inspires passion
movie,Volver,Pedro Almodóvar,2006,A mother returns to her home town in order to fix the situations she couldn't resolve during her life
movie,Her,Spike Jonze,2013,A lonely writer develops an unlikely relationship with an operating system designed to meet his every need
movie,Noi,Dagur Kári,2003,17 year old Noi drifts through life on a remote fjord in the north of Iceland
movie,Rokk í Reykjavík,Friðrik Þór Friðriksson,1982,Overview of the powerful and expanding rock scene in Iceland
movie,Rams,Grímur Hákonarson,2015,two brothers who haven't spoken in 40 years have to come together in order to save what's dearest to them - their sheep
movie,101 Reykjavík,Baltasar Kormákur,2000,Set in downtown Reykjavik
movie,Englar alheimsins,Friðrik Þór Friðriksson,2000,Story of an Icelandic man who slowly descends into madness and depression after his girlfriend leaves him
movie,The Juniper Tree,Nietzchka Keene,1990,Story of two sisters who escape their home after their mother is stoned and burned for witchcraft
